ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
15,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,SQUINZANO,Lecce,Puglia
36,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,ALESSANDRIA,Alessandria,Piedmont
39,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
41,First contact,31 - 35 years,Male,,industrial engineering,Five-year degree,[1-3],Others,2021,,,,,,,,,,,,,PERCH DOSIMO,Cremona,Lombardy
47,First contact,36 - 40 years,Male,,Electrical Engineering,Five-year degree,[+10],Energy,2022,,,,,,,,,,,,,GERMANY,(STATE),(OVERSEAS)
84,First contact,26 - 30 years,Male,,Civil/Civil and Environmental Engineering,Five-year degree,[0-1],Others,2022,,,,,,,,,,,,,BOLOGNA,Bologna,Emilia Romagna
87,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SETTIMO TORINESE,Turin,Piedmont
105,Imported,31 - 35 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
114,First contact,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
130,Imported,26 - 30 years,Female,,chemical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TOLLO,Chieti,Abruzzo
134,First contact,40 - 45 years,Male,,Communication Sciences,Three-year degree,[+10],Services and Information Systems,2021,,,,,,,,,,,,,AVEZZANO,L'Aquila,Abruzzo
137,In selection,< 20 years,Female,,Management Engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,,,NAPLES,Naples,Campania
138,Imported,> 45 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,SAN MAURIZIO CANAVESE,Turin,Piedmont
149,In selection,36 - 40 years,Male,,Scientific maturity,High school graduation,[+10],Consulting,2021,,,,,,,,,,,32-34 K,,MILAN,Milan,Lombardy
156,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,PADERNO FRANCIACORTA,Brescia,Lombardy
160,First contact,40 - 45 years,Male,,electronic Engineering,master's degree,[+10],Automotive,2021,,,,,,,,,,,,,SETTIMO TORINESE,Turin,Piedmont
165,Hired,26 - 30 years,Male,,Informatics,Three-year degree,[1-3],Telecom,2023,2023,Bologna,Tech Consulting & Solutions,Consultant,[1-3],22-24K,28-30K,Three-year degree,Informatics,Milan,22-24 K,26-28 K,SESTO FIORENTINO,Florence,Tuscany
168,First contact,36 - 40 years,Male,,Mechanical engineering,Five-year degree,[5-7],Others,2018,,,,,,,,,,,Not available,Not available,TURIN,Turin,Piedmont
169,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
173,Imported,31 - 35 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,CHIVASSO,Turin,Piedmont
179,Imported,26 - 30 years,Female,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,VILLAFRANCA TIRRENA,Messina,Sicily
180,First contact,26 - 30 years,Male,,Electrical Engineering,Five-year degree,[0-1],Automotive,2023,,,,,,,,,,,,,NAPLES,Naples,Campania
189,First contact,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],Telecom,2023,,,,,,,,,,,,Not available,GENOA,Genoa,Liguria
195,Imported,< 20 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ROME,Rome,Lazio
197,First contact,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],Automotive,2022,,,,,,,,,,,,,ACERRA,Naples,Campania
215,First contact,26 - 30 years,Female,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CASTROVILLARI,Cosenza,Calabria
226,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
243,In selection,31 - 35 years,Male,,Information Engineering,Five-year degree,[3-5],Services and Information Systems,2022,,,,,,,,,,,40-42 K,44-46 K,CARMAGNOLA,Turin,Piedmont
247,Imported,20 - 25 years,Male,,Other,Three-year degree,[0],,2022,,,,,,,,,,,,,FRANCE,(STATE),(OVERSEAS)
263,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2021,,,,,,,,,,,,,SOGLIANO CAVOUR,Lecce,Puglia
269,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,SAN DONACI,Brindisi,Puglia
271,Imported,26 - 30 years,Male,,Other,Five-year degree,[0],,2021,,,,,,,,,,,,,BIELLA,Biella,Piedmont
278,Economic proposal,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],Consulting,2022,,,,,,,,,,,,,FLORENCE,Florence,Tuscany
284,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,VERNANTE,Cuneo,Piedmont
291,Imported,20 - 25 years,Female,,Biomedical Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
294,In selection,< 20 years,Male,,electronic Engineering,Five-year degree,[3-5],Automotive,2022,,,,,,,,,,,38-40 K,44-46 K,MILAN,Milan,Lombardy
296,Imported,26 - 30 years,Male,,Other,Three-year degree,[0],,2021,,,,,,,,,,,,,RIVAROLO CANAVESE,Turin,Piedmont
305,Imported,26 - 30 years,Male,,Electrical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,AUGUSTA,Syracuse,Sicily
307,In selection,31 - 35 years,Male,,chemical engineering,Five-year degree,[7-10],Oil and Gas,2021,,,,,,,,,,,,,LEGNANO,Milan,Lombardy
313,In selection,< 20 years,Male,,Informatics,master's degree,[1-3],Others,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
315,In selection,< 20 years,Male,,Management Engineering,Five-year degree,[0],Consulting,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
321,Imported,31 - 35 years,Male,,Mechanical engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
322,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TESINO CASTLE,Trento,Trentino Alto Adige
340,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,RAGUSA,Ragusa,Sicily
343,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
346,QM,< 20 years,Male,,Other,master's degree,[1-3],Others,2022,,,,,,,,,,,32-34 K,38-40 K,MILAN,Milan,Lombardy
347,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
356,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,ISPICA,Ragusa,Sicily
358,In selection,26 - 30 years,Male,,industrial engineering,Three-year degree,[3-5],Automotive,2023,,,,,,,,,,,24-26 K,30-32 K,MODENA,Modena,Emilia Romagna
361,In selection,31 - 35 years,Male,,Informatics,High school graduation,[+10],Others,2022,,,,,,,,,,,32-34 K,38-40 K,ASSAGO,Milan,Lombardy
363,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
369,Hired,26 - 30 years,Female,,Mechanical engineering,Three-year degree,[1-3],Automotive,2020,2022,Modena,Engineering,Junior Consultant,[0-1],,24-26K,Five-year degree,Automotive Engineering,Modena,,,MARCH,Varese,Lombardy
372,Economic proposal,31 - 35 years,Female,,Biomedical Engineering,Five-year degree,[5-7],Life sciences,2018,,,,,,,,,,,30-32 K,Not available,AVEZZANO,L'Aquila,Abruzzo
378,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TARANTO,Taranto,Puglia
380,First contact,20 - 25 years,Male,,Accounting,High school graduation,[3-5],Oil and Gas,2021,,,,,,,,,,,22-24 K,,LEGNANO,Milan,Lombardy
387,First contact,> 45 years,Male,,Mechanical engineering,Five-year degree,[+10],Energy,2021,,,,,,,,,,,,,ROMANIA,(STATE),(OVERSEAS)
393,Imported,31 - 35 years,Male,,Civil/Civil and Environmental Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ALESSANDRIA,Alessandria,Piedmont
396,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
397,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
406,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,SAVONA,Savona,Liguria
407,Imported,< 20 years,Male,,Mechanical engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,POWER,Power,Basilicata
414,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
417,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,CAMPOBASSO,Campobasso,Molise
420,Imported,26 - 30 years,Female,,electronic Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
423,Hired,36 - 40 years,Male,,Informatics,High school graduation,[+10],Life sciences,2018,2018,Modena,Engineering,Consultant,,,,,,,34-36 K,40-42 K,MIRANDOLA,Modena,Emilia Romagna
425,Imported,20 - 25 years,Male,,electronic Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FOGGIA,Foggia,Puglia
429,First contact,31 - 35 years,Male,,Mechanical engineering,Three-year degree,[7-10],Others,2022,,,,,,,,,,,,,BORGOMANERO,Novara,Piedmont
440,Imported,20 - 25 years,Female,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
444,First contact,26 - 30 years,Male,,Automotive Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,SPOLTORE,Pescara,Abruzzo
448,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SPAIN,(COUNTRY),(OVERSEAS)
454,First contact,< 20 years,Female,,Informatics,master's degree,[0],Life sciences,2023,,,,,,,,,,,,,PADUA,Padua,Veneto
455,Imported,31 - 35 years,Male,,electronic Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
460,In selection,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[1-3],Aeronautics,2022,,,,,,,,,,,24-26 K,,NAPLES,Naples,Campania
461,First contact,< 20 years,Female,,Management Engineering,Five-year degree,[1-3],Others,2023,,,,,,,,,,,Not available,Not available,LECCE,Lecce,Puglia
474,Imported,31 - 35 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CARIGNANO,Turin,Piedmont
484,Imported,26 - 30 years,Female,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
494,Imported,26 - 30 years,Female,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,SELARGIUS,Cagliari,Sardinia
508,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
511,In selection,20 - 25 years,Male,,Electrical Engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,,,SAN GIORGIO IN BOSCO,Padua,Veneto
512,First contact,31 - 35 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,MILAN,Milan,Lombardy
513,Imported,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,LOCOROTONDO,Bari,Puglia
514,Imported,31 - 35 years,Female,,Electrical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
517,In selection,< 20 years,Male,,Other scientific subjects,High school graduation,[0],Naval,2023,,,,,,,,,,,,,AULLA,Massa-Carrara,Tuscany
522,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MARSHES,Cosenza,Calabria
542,Imported,26 - 30 years,Male,,Telecommunications Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SANTERAMO IN COLLE,Bari,Puglia
543,In selection,< 20 years,Male,,Informatics,High school graduation,[+10],Services and Information Systems,2023,,,,,,,,,,,42-44 K,42-44 K,MILAN,Milan,Lombardy
553,Imported,20 - 25 years,Female,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MOLFETTA,Bari,Puglia
555,First contact,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],Life sciences,2022,,,,,,,,,,,,26-28 K,CORRIDONIA,Macerata,Marche
562,In selection,< 20 years,Male,,computer engineering,Five-year degree,[1-3],Automotive,2018,,,,,,,,,,,30-32 K,34-36 K,GENOA,Genoa,Liguria
575,In selection,31 - 35 years,Male,,electronic Engineering,Five-year degree,[5-7],Automotive,2022,,,,,,,,,,,36-38 K,40-42 K,FERRARA,Ferrara,Emilia Romagna
584,Imported,20 - 25 years,Male,,Automotive Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,RIVALTA DI TURIN,Turin,Piedmont
614,First contact,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],Others,2022,,,,,,,,,,,,,SYRACUSE,Syracuse,Sicily
623,First contact,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0-1],Automotive,2020,,,,,,,,,,,30-32 K,Not available,VALDERICE,Trapani,Sicily
629,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BRINDISI,Brindisi,Puglia
632,Imported,26 - 30 years,Male,,Management Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
634,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
637,In selection,26 - 30 years,Female,,Informatics,Three-year degree,[0-1],Services and Information Systems,2023,,,,,,,,,,,Not available,Not available,PAVIA,Pavia,Lombardy
644,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,PERUGIA,Perugia,Umbria
652,First contact,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN PINE,Turin,Piedmont
662,Imported,26 - 30 years,Female,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,ANDRIA,Barletta-Andria-Trani,Puglia
665,Imported,26 - 30 years,Male,,Materials Science and Engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,VEZZA D'ALBA,Cuneo,Piedmont
672,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
678,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,LIZZANO,Taranto,Puglia
679,First contact,> 45 years,Male,,industrial engineering,Five-year degree,[+10],Others,2021,,,,,,,,,,,,,ALGUA,Bergamo,Lombardy
687,In selection,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],Others,2022,,,,,,,,,,,,,FIORANO MODENESE,Modena,Emilia Romagna
688,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,FRANCAVILLA IN SINNI,Potenza,Basilicata
694,In selection,31 - 35 years,Male,,electronic Engineering,Five-year degree,[3-5],Automotive,2021,,,,,,,,,,,,,MODENA,Modena,Emilia Romagna
697,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BOLZANO,Bolzano,Trentino Alto Adige
711,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TARANTO,Taranto,Puglia
728,Imported,20 - 25 years,Female,,electronic Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MATERA,Matera,Basilicata
731,In selection,> 45 years,Male,,Other,High school graduation,[+10],Oil and Gas,2021,,,,,,,,,,,+ 50 K,+ 50 K,SASSARI,Sassari,Sardinia
739,In selection,26 - 30 years,Male,,Management Engineering,Five-year degree,[0-1],Others,2023,,,,,,,,,,,Not available,Not available,LIVORNO,Livorno,Tuscany
747,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TRICASE,Lecce,Puglia
751,First contact,26 - 30 years,Female,,Chemist - Pharmaceutical,Five-year degree,[0],Life sciences,2023,,,,,,,,,,,Not available,Not available,MILAN,Milan,Lombardy
756,In selection,26 - 30 years,Male,,Economic - Statistics,Five-year degree,[3-5],Consulting,2022,,,,,,,,,,,32-34 K,34-36 K,FLORENCE,Florence,Tuscany
762,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
763,In selection,< 20 years,Female,,Legal,master's degree,[+10],Oil and Gas,2022,,,,,,,,,,,40-42 K,40-42 K,ROME,Rome,Lazio
786,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
814,Imported,26 - 30 years,Female,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
815,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TARANTO,Taranto,Puglia
819,In selection,31 - 35 years,Male,,Civil/Civil and Environmental Engineering,Five-year degree,[1-3],Energy,2022,,,,,,,,,,,,,REGGIO DI CALABRIA,Reggio-Calabria,Calabria
826,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
830,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,ARADEO,Lecce,Puglia
837,Imported,26 - 30 years,Female,,Telecommunications Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
842,Imported,26 - 30 years,Female,,Electrical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ACQUAVIVA DELLE FONTI,Bari,Puglia
844,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,UGENTO,Lecce,Puglia
849,First contact,> 45 years,Male,,Other,Three-year degree,[+10],Others,2022,,,,,,,,,,,,,SETTALA,Milan,Lombardy
852,First contact,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MONTIGLIO,Asti,Piedmont
853,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BRACCIANO,Rome,Lazio
858,Imported,26 - 30 years,Male,,Mathematical-physical modeling for engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
867,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0-1],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
869,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,MINERVINO MURGE,Barletta-Andria-Trani,Puglia
871,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,CORATO,Bari,Puglia
876,First contact,40 - 45 years,Male,,electronic Engineering,Three-year degree,[+10],Others,2022,,,,,,,,,,,,,VARESE,Varese,Lombardy
877,First contact,20 - 25 years,Female,,Biomedical Engineering,Five-year degree,[0],Others,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
880,In selection,20 - 25 years,Male,,Telecommunications Engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
883,Imported,26 - 30 years,Female,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,MANFREDONIA,Foggia,Puglia
889,In selection,26 - 30 years,Male,,electronic Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,MILAN,Milan,Lombardy
894,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,OVINDOLI,L'Aquila,Abruzzo
906,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,CUNEO,Cuneo,Piedmont
911,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,MELFI,Potenza,Basilicata
912,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,FERRANDINA,Matera,Basilicata
914,Imported,20 - 25 years,Female,,Other,Three-year degree,[0],,2022,,,,,,,,,,,,,VALSAVARENCHE,Aosta,Aosta Valley
915,Imported,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CAMBIANO,Turin,Piedmont
917,In selection,26 - 30 years,Male,,Economic - Statistics,Five-year degree,[3-5],Services and Information Systems,2022,,,,,,,,,,,26-28 K,30-32 K,POGGIBONSI,Siena,Tuscany
924,Imported,20 - 25 years,Female,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FASANO,Brindisi,Puglia
932,Imported,40 - 45 years,Male,,Civil/Civil and Environmental Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MARTINA FRANCA,Taranto,Puglia
946,In selection,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Aeronautics,2023,,,,,,,,,,,,,ALTOFONTE,Palermo,Sicily
952,First contact,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],Others,2021,,,,,,,,,,,,,POWER,Power,Basilicata
953,First contact,26 - 30 years,Female,,computer engineering,Three-year degree,[5-7],,2018,,,,,,,,,,,,,PISA,Pisa,Tuscany
954,Imported,36 - 40 years,Female,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
965,Imported,20 - 25 years,Female,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,GIARRE,Catania,Sicily
968,First contact,< 20 years,Female,,Safety Engineering,Five-year degree,[0],Others,2021,,,,,,,,,,,,,GENOA,Genoa,Liguria
975,Imported,20 - 25 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MONTE SANT'ANGELO,Foggia,Puglia
976,Imported,20 - 25 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,AQUARICA DEL CAPO,Lecce,Puglia
978,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TERRALBA,Oristano,Sardinia
982,First contact,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0-1],Others,2022,,,,,,,,,,,,,SCAFA,Pescara,Abruzzo
986,Imported,20 - 25 years,Female,,Management Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,LIZZANELLO,Lecce,Puglia
993,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
996,First contact,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[3-5],Aeronautics,2022,,,,,,,,,,,,,FRANCE,(STATE),(OVERSEAS)
998,Imported,26 - 30 years,Female,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,PINEROLO,Turin,Piedmont
999,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,SASSARI,Sassari,Sardinia
1006,Hired,> 45 years,Male,,Other,High school graduation,[+10],Energy,2019,2019,Milan,Engineering,???,[0],,,Professional qualification,Other,Milan,,32-34 K,MILAN,Milan,Lombardy
1008,First contact,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[1-3],Machining - Heavy Industry,2022,,,,,,,,,,,,,PISA,Pisa,Tuscany
1013,First contact,26 - 30 years,Male,,Management Engineering,Five-year degree,[1-3],Energy,2023,,,,,,,,,,,30-32 K,34-36 K,TERLIZZI,Bari,Puglia
1016,Imported,31 - 35 years,Female,,Other,Doctorate,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
1019,First contact,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,SANT'ANTONIO ABATE,Naples,Campania
1020,In selection,> 45 years,Male,,Other,High school graduation,[+10],Oil and Gas,2023,,,,,,,,,,,,,BRINDISI,Brindisi,Puglia
1025,First contact,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],Aeronautics,2022,,,,,,,,,,,,,CATANIA,Catania,Sicily
1038,Hired,26 - 30 years,Male,,Informatics,High school graduation,[1-3],Consulting,2021,2021,Turin,Engineering,Consultant,[3-5],28-30K,32-34K,Three-year degree,computer engineering,Turin,,,TURIN,Turin,Piedmont
1049,First contact,< 20 years,Female,,Legal,Three-year degree,[3-5],Telecom,2022,,,,,,,,,,,22-24 K,26-28 K,PALERMO,Palermo,Sicily
1055,Imported,26 - 30 years,Female,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,DRUENTO,Turin,Piedmont
1060,Imported,26 - 30 years,Female,,Automation/Mechatronics Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,FERENTINO,Frosinone,Lazio
1068,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ORTA NOVA,Foggia,Puglia
1069,In selection,31 - 35 years,Female,,computer engineering,Five-year degree,[0-1],Others,2021,,,,,,,,,,,,,BENEVENTO,Benevento,Campania
1083,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,CIRIE',Turin,Piedmont
1086,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,TRAPANI,Trapani,Sicily
1087,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,SRI LANKA,(STATE),(OVERSEAS)
1089,Imported,36 - 40 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
1091,First contact,31 - 35 years,Female,,Other humanities subjects,Five-year degree,[0],Others,2023,,,,,,,,,,,Not available,Not available,TURIN,Turin,Piedmont
1094,Imported,20 - 25 years,Female,,Biomedical Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
1098,First contact,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],Automotive,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
1104,First contact,31 - 35 years,Male,,industrial engineering,Five-year degree,[7-10],Others,2022,,,,,,,,,,,,,MILAN,Milan,Lombardy
1114,First contact,31 - 35 years,Male,,computer engineering,Doctorate,[5-7],Consulting,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
