ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
25414,Imported,26 - 30 years,Female,,Civil/Civil and Environmental Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
25425,Imported,31 - 35 years,Male,,Mechanical engineering,Five-year degree,[0-1],,2021,,,,,,,,,,,,,RUVO DI PUGLIA,Bari,Puglia
25435,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MARGHERITA DI SAVOIA,Barletta-Andria-Trani,Puglia
25436,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CALOPEZZATI,Cosenza,Calabria
25459,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,COLLEGNO,Turin,Piedmont
25474,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
25480,Imported,26 - 30 years,Female,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TREVIGNANO,Treviso,Veneto
25484,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,LOMBRIASCO,Turin,Piedmont
25485,Imported,20 - 25 years,Female,,electronic Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,RIBERA,Agrigento,Sicily
25488,In selection,40 - 45 years,Male,,electronic Engineering,Five-year degree,[+10],Life sciences,2018,,,,,,,,,,,32-34 K,,NONANTOLA,Modena,Emilia Romagna
25504,First contact,< 20 years,Male,,Management Engineering,Five-year degree,[5-7],Others,2023,,,,,,,,,,,Not available,Not available,GENOA,Genoa,Liguria
25506,Imported,20 - 25 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
25514,Imported,26 - 30 years,Male,,Materials Science and Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,FRANCAVILLA FONTANA,Brindisi,Puglia
25515,Imported,26 - 30 years,Female,,Civil/Civil and Environmental Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,FERRARA,Ferrara,Emilia Romagna
25538,In selection,26 - 30 years,Male,,Other scientific subjects,High school graduation,[5-7],Automotive,2022,,,,,,,,,,,,,VARALLO,Vercelli,Piedmont
25543,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,VILLAR SAN COSTANZO,Cuneo,Piedmont
